market,symbol,name_zh,latest_price,change_pct,source,updated_at
RISK,QQQ,納斯達克100 ETF,708.9299926757812,-1.5087714031981059,yfinance:QQQ,2026-05-16 17:27:52
RISK,SPY,S&P 500 ETF,739.1699829101562,-1.2029351892724582,yfinance:SPY,2026-05-16 17:27:52
RISK,SOXX,費半 ETF,508.5199890136719,-4.058268229016726,yfinance:SOXX,2026-05-16 17:27:52
RISK,SMH,半導體 ETF,556.3400268554688,-3.803990555455361,yfinance:SMH,2026-05-16 17:27:52
RISK,^VIX,VIX 恐慌指數,18.43000030517578,6.778679378787822,yfinance:^VIX,2026-05-16 17:27:52
